num_qubits,calculation_time_qaoa,calculation_time_wqaoa,calculation_time_vqe,success_rate_qaoa,success_rate_vqe,success_rate_wqaoa
3,28.026362895965576,21.60566997528076,29.482025861740112,1.0,1.0,1.0
4,29.75786018371582,22.055552005767822,29.740755081176758,1.0,1.0,1.0
5,32.89192008972168,18.405343055725098,30.163235187530518,1.0,1.0,1.0
6,29.42099094390869,20.619561910629272,30.951987981796265,1.0,1.0,1.0
7,35.76966190338135,22.33871293067932,32.92541694641113,1.0,1.0,1.0
8,63.49864077568054,35.79935812950134,31.38309597969055,1.0,0.8571428571428571,1.0
9,169.1516830921173,166.84706497192383,50.67077708244324,1.0,0.875,0.875
10,364.68981313705444,340.02235293388367,148.40397000312805,0.9,0.7,0.9
11,759.1409001350403,822.7278418540955,296.97824788093567,0.8,0.8,0.7
12,1261.1573841571808,1425.1341390609741,622.4039378166199,0.8181818181818182,0.9090909090909091,0.9090909090909091
13,3454.5439138412476,3638.601366043091,1294.5957469940186,0.8181818181818182,0.7272727272727273,1.0
14,7298.9075310230255,8287.308557987213,2728.127833843231,0.9090909090909091,0.8181818181818182,0.9090909090909091
